sales_id,age,country,membership_status,previous_purchases,destination,stay_length,guests,travel_month,months_before_travel,earlybird_discount,package_Type,cost,rating,margin,additional_services_cost
1,47,Italy,standard,3,Tokyo,8,3,2,2,False,Relaxation,2899.2599999999998,6,1865.224665935612,527.1785216495927
2,37,Canada,standard,6,Cairo,4,2,8,1,False,Cultural,986.7199999999999,5,880.2584981430157,167.85648290082221
3,49,Australia,silver,3,Paris,4,2,12,1,True,Adventure,1610.7,6,914.2603333553379,298.2516431390422
4,62,Germany,gold,7,Paris,8,1,12,11,True,Adventure,2155.608,8,1512.8057020385677,415.4901843668609
5,36,UK,gold,4,Rio,5,3,8,4,False,Relaxation,1183.84,7,839.0507081578285,200.5767669906473
6,36,Canada,standard,5,Cairo,5,5,8,1,True,Relaxation,1432.48,5,1091.5391003798604,321.15643743581495
7,63,Australia,silver,1,Rome,10,3,12,2,False,Relaxation,3706.359999999999,5,2226.5158334022553,438.5783978233021
8,51,Australia,standard,7,Cape Town,4,3,6,4,False,Relaxation,1580.5439999999996,6,499.72032895210964,400.57741587366206
9,32,UK,standard,0,New York,4,2,12,2,True,Cultural,1648.9199999999998,5,1428.5499904786434,251.76448249828042
10,48,UK,gold,4,Paris,5,5,7,1,False,Cultural,2260.44,7,1589.3374449874536,483.02312202165774
11,33,Australia,silver,2,Rome,15,2,1,6,False,Relaxation,2580.0,5,2152.0565361553186,888.1709276931541
12,33,Australia,gold,6,Cairo,7,3,6,21,True,Relaxation,1535.52,8,1445.3767025874463,352.6892446712386
13,43,Germany,standard,3,Cape Town,12,5,12,1,False,Adventure,2666.72,7,2106.403990237756,226.69279741021992
14,18,UK,standard,1,New York,9,1,1,3,False,Relaxation,1894.1000000000001,5,1594.1384869869194,469.93501311246035
15,18,France,gold,6,Rio,6,1,2,1,False,Adventure,579.04,8,453.0076156682176,105.37996821799797
16,31,UK,standard,3,Rio,5,2,2,8,True,Cultural,822.4000000000001,5,279.99535451170414,172.02405257568975
17,24,Germany,standard,1,Rome,14,4,8,3,False,Adventure,2332.89,7,2835.641089673108,353.6599073768474
18,44,UK,silver,2,Tokyo,7,2,6,3,False,Cultural,2307.7599999999998,5,2050.8846047700686,215.06702197813058
19,26,USA,standard,3,Rome,10,1,2,9,True,Adventure,1626.0,6,1195.397216629976,150.27994980990613
